CREATE TABLE [attendance] ([timestamp] VARCHAR(20),[emp_id] SMALLINT);
INSERT INTO [attendance] ([timestamp],[emp_id]) VALUES 
 ('2022-07-27 21:19:32','463'), 
 ('2022-07-28 06:19:32','463'), 
 ('2022-07-28 22:19:32','463'), 
 ('2022-07-29 06:19:32','463'), 
 ('2022-07-29 22:19:32','463'), 
 ('2022-07-30 06:19:32','463'), 
 ('2022-07-30 22:19:32','463'), 
 ('2022-07-31 06:19:32','463'), 
 ('2022-07-31 22:19:32','463'), 
 ('2022-08-01 06:19:32','289'), 
 ('2022-08-01 22:19:32','289'), 
 ('2022-08-02 06:19:32','289'), 
 ('2022-08-02 22:19:32','289'), 
 ('2022-08-03 06:19:32','289'), 
 ('2022-08-03 22:19:32','289'), 
 ('2022-08-04 06:19:32','289'), 
 ('2022-08-04 22:19:32','289'), 
 ('2022-08-05 06:19:32','289'), 
 ('2022-08-05 22:19:32','289'), 
 ('2022-08-06 06:19:32','289'), 
 ('2022-08-06 22:19:32','289'), 
 ('2022-08-07 08:19:32','289'), 
 ('2022-08-07 16:19:32','289'), 
 ('2022-08-08 08:19:32','289'), 
 ('2022-08-08 16:19:32','289'), 
 ('2022-08-09 08:19:32','289'), 
 ('2022-08-09 16:19:32','289'), 
 ('2022-08-10 08:19:32','289'), 
 ('2022-08-10 16:19:32','289'), 
 ('2022-08-11 08:19:32','289'), 
 ('2022-08-11 16:19:32','289'), 
 ('2022-08-12 08:19:32','289'), 
 ('2022-08-12 16:19:32','289'), 
 ('2022-08-13 08:19:32','289'), 
 ('2022-08-13 16:19:32','289'), 
 ('2022-08-14 08:19:32','289'), 
 ('2022-08-14 16:19:32','289'), 
 ('2022-08-15 08:19:32','289'), 
 ('2022-08-15 16:19:32','289'), 
 ('2022-08-16 08:19:32','289'), 
 ('2022-08-16 16:19:32','289'), 
 ('2022-08-17 08:19:32','289'), 
 ('2022-08-17 16:19:32','289'), 
 ('2022-08-18 08:19:32','289'), 
 ('2022-08-18 16:19:32','289'), 
 ('2022-08-19 08:19:32','289'), 
 ('2022-08-19 16:19:32','289'), 
 ('2022-08-20 08:19:32','289'), 
 ('2022-08-20 16:19:32','289'), 
 ('2022-08-21 08:19:32','289'), 
 ('2022-08-21 16:19:32','289'), 
 ('2022-08-22 08:19:32','999'), 
 ('2022-08-22 16:19:32','999'), 
 ('2022-08-23 08:19:32','999'), 
 ('2022-08-23 16:19:32','999'), 
 ('2022-08-24 08:19:32','999'), 
 ('2022-08-24 16:19:32','999'), 
 ('2022-08-25 08:19:32','999'), 
 ('2022-08-25 16:19:32','999'), 
 ('2022-08-26 08:19:32','999'), 
 ('2022-08-26 16:19:32','999'), 
 ('2022-08-27 08:19:32','999'), 
 ('2022-08-27 16:19:32','999');
